SortID,ID,Type,Latitude,Longitude,Public
138,P124TX0463,Landrace2,16.56,-95.10,No
126,B12TX0194,Landrace2,16.56,-96.73,No
142,B12TX0315,Landrace2,16.61,-98.23,No
148,B12TX1168,Landrace2,16.73,-93.02,No
152,P124TX0018,Landrace2,16.75,-93.10,No
150,P124TX0045,Landrace2,16.76,-93.13,No
151,B12TX1105,Landrace2,16.76,-93.13,No
153,B12TX1102,Landrace2,16.76,-93.13,No
130,B12TX0130,Landrace2,16.80,-96.65,No
131,B12TX0279,Landrace2,16.87,-96.78,No
129,B12TX0286,Landrace2,16.95,-96.71,No
128,P124TX0171,Landrace2,17.07,-96.73,No
146,B12TX0303,Landrace2,17.08,-96.72,No
127,B12TX0147,Landrace2,17.08,-96.76,No
72,B12TX1373,Landrace1,17.30,-62.72,No
141,P124TX0246,Landrace2,17.44,-99.55,No
13,B12BPS1173,Wild,17.73,-77.18,No
14,B12TX0969,Wild,17.74,-77.24,No
86,B12TX2226,Landrace1,17.79,-77.27,No
